Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.5493827160493827
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.5964912280701754
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.64375
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.7407407407407407
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.5921052631578947
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.59375
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.5185185185185185
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.5555555555555556
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.8094666666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7827586206896553
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.7429378531073445
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.6954022988505746
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7058404558404558
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7296747967479674
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.8095238095238094
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7797619047619048
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.6194444444444444
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.6230158730158729
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.5877192982456141
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.6206896551724138
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.6811111111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.7053571428571429
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.6929824561403509
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7241379310344828
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.7842896174863389
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.7990196078431372
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.8362068965517241
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.8793103448275862
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.7844173441734418
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.7926356589147288
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.7629310344827587
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.7344632768361582
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.7831325301204819
Tarefa: bioActivity | Estagio: 3rd | Fold: 7 | Hits@5: 0.7946428571428571
Tarefa: bioActivity | Estagio: 4th | Fold: 7 | Hits@5: 0.7678571428571429
Tarefa: bioActivity | Estagio: 1st | Fold: 8 | Hits@5: 0.6899425287356322
Tarefa: bioActivity | Estagio: 2nd | Fold: 8 | Hits@5: 0.7119341563786008
Tarefa: bioActivity | Estagio: 3rd | Fold: 8 | Hits@5: 0.787878787878788
Tarefa: bioActivity | Estagio: 4th | Fold: 8 | Hits@5: 0.7345679012345678
Tarefa: bioActivity | Estagio: 1st | Fold: 9 | Hits@5: 0.621045197740113
Tarefa: bioActivity | Estagio: 2nd | Fold: 9 | Hits@5: 0.6259036144578314
Tarefa: bioActivity | Estagio: 3rd | Fold: 9 | Hits@5: 0.5898809523809524
Tarefa: bioActivity | Estagio: 4th | Fold: 9 | Hits@5: 0.6071428571428571
Tarefa: collectionSpecie | Estagio: 1st | Fold: 0 | Hits@50: 0.5100574712643678
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 0 | Hits@50: 0.5308641975308642
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 0 | Hits@50: 0.4909090909090909
Tarefa: collectionSpecie | Estagio: 4th | Fold: 0 | Hits@50: 0.4444444444444444
Tarefa: collectionSpecie | Estagio: 1st | Fold: 1 | Hits@50: 0.49715099715099714
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 1 | Hits@50: 0.4593495934959349
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 1 | Hits@50: 0.4583333333333333
Tarefa: collectionSpecie | Estagio: 4th | Fold: 1 | Hits@50: 0.32142857142857145
Tarefa: collectionSpecie | Estagio: 1st | Fold: 2 | Hits@50: 0.47863247863247865
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 2 | Hits@50: 0.4878048780487805
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 2 | Hits@50: 0.5178571428571429
Tarefa: collectionSpecie | Estagio: 4th | Fold: 2 | Hits@50: 0.42857142857142855
Tarefa: collectionSpecie | Estagio: 1st | Fold: 3 | Hits@50: 0.5172413793103449
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 3 | Hits@50: 0.5555555555555556
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 3 | Hits@50: 0.5727272727272728
Tarefa: collectionSpecie | Estagio: 4th | Fold: 3 | Hits@50: 0.6481481481481481
Tarefa: collectionSpecie | Estagio: 1st | Fold: 4 | Hits@50: 0.5356125356125356
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 4 | Hits@50: 0.532520325203252
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 4 | Hits@50: 0.5476190476190476
