Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.5864197530864197
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.6403508771929824
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.70625
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.7407407407407407
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.7777777777777778
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6359649122807017
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.65625
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.6111111111111112
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.6666666666666666
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.8214666666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.8
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.751412429378531
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.6954022988505746
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7101139601139601
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7296747967479674
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.8095238095238094
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7797619047619048
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.6916666666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7023809523809523
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.6637426900584794
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.6811111111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.7053571428571429
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.6929824561403509
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7241379310344828
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.8047814207650273
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.7990196078431372
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.8362068965517241
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.8793103448275862
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.7844173441734418
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.7926356589147288
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.7629310344827587
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7441256830601093
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.7372549019607842
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.8045977011494252
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.7643678160919539
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.7457627118644069
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.7831325301204819
Tarefa: bioActivity | Estagio: 3rd | Fold: 7 | Hits@5: 0.7946428571428571
Tarefa: bioActivity | Estagio: 4th | Fold: 7 | Hits@5: 0.7678571428571429
Tarefa: bioActivity | Estagio: 1st | Fold: 8 | Hits@5: 0.6985632183908046
Tarefa: bioActivity | Estagio: 2nd | Fold: 8 | Hits@5: 0.7242798353909465
Tarefa: bioActivity | Estagio: 3rd | Fold: 8 | Hits@5: 0.787878787878788
Tarefa: bioActivity | Estagio: 4th | Fold: 8 | Hits@5: 0.7345679012345678
Tarefa: bioActivity | Estagio: 1st | Fold: 9 | Hits@5: 0.621045197740113
Tarefa: bioActivity | Estagio: 2nd | Fold: 9 | Hits@5: 0.6259036144578314
Tarefa: bioActivity | Estagio: 3rd | Fold: 9 | Hits@5: 0.5898809523809524
Tarefa: bioActivity | Estagio: 4th | Fold: 9 | Hits@5: 0.6071428571428571
Tarefa: collectionSpecie | Estagio: 1st | Fold: 0 | Hits@50: 0.7428160919540229
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 0 | Hits@50: 0.7283950617283951
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 0 | Hits@50: 0.6909090909090909
Tarefa: collectionSpecie | Estagio: 4th | Fold: 0 | Hits@50: 0.6296296296296297
Tarefa: collectionSpecie | Estagio: 1st | Fold: 1 | Hits@50: 0.7777777777777778
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 1 | Hits@50: 0.7621951219512195
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 1 | Hits@50: 0.8125
Tarefa: collectionSpecie | Estagio: 4th | Fold: 1 | Hits@50: 0.8035714285714286
Tarefa: collectionSpecie | Estagio: 1st | Fold: 2 | Hits@50: 0.7136752136752137
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 2 | Hits@50: 0.7621951219512195
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 2 | Hits@50: 0.7946428571428571
Tarefa: collectionSpecie | Estagio: 4th | Fold: 2 | Hits@50: 0.75
Tarefa: collectionSpecie | Estagio: 1st | Fold: 3 | Hits@50: 0.7844827586206896
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 3 | Hits@50: 0.7901234567901234
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 3 | Hits@50: 0.8090909090909091
Tarefa: collectionSpecie | Estagio: 4th | Fold: 3 | Hits@50: 0.9074074074074074
Tarefa: collectionSpecie | Estagio: 1st | Fold: 4 | Hits@50: 0.7749287749287749
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 4 | Hits@50: 0.7703252032520325
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 4 | Hits@50: 0.7351190476190476
Tarefa: collectionSpecie | Estagio: 4th | Fold: 4 | Hits@50: 0.7321428571428571
Tarefa: collectionSpecie | Estagio: 1st | Fold: 5 | Hits@50: 0.7441520467836258
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 5 | Hits@50: 0.775
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 5 | Hits@50: 0.7870370370370371
Tarefa: collectionSpecie | Estagio: 4th | Fold: 5 | Hits@50: 0.8518518518518519
Tarefa: collectionSpecie | Estagio: 1st | Fold: 6 | Hits@50: 0.7353801169590642
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 6 | Hits@50: 0.7041666666666667
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 6 | Hits@50: 0.7191358024691357
Tarefa: collectionSpecie | Estagio: 4th | Fold: 6 | Hits@50: 0.8271604938271605
Tarefa: collectionSpecie | Estagio: 1st | Fold: 7 | Hits@50: 0.8163841807909605
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 7 | Hits@50: 0.8293172690763053
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 7 | Hits@50: 0.8660714285714286
Tarefa: collectionSpecie | Estagio: 4th | Fold: 7 | Hits@50: 0.8571428571428571
Tarefa: collectionSpecie | Estagio: 1st | Fold: 8 | Hits@50: 0.8275362318840579
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 8 | Hits@50: 0.8353909465020575
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 8 | Hits@50: 0.8727272727272727
Tarefa: collectionSpecie | Estagio: 4th | Fold: 8 | Hits@50: 0.8888888888888888
Tarefa: collectionSpecie | Estagio: 1st | Fold: 9 | Hits@50: 0.7293447293447294
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 9 | Hits@50: 0.75
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 9 | Hits@50: 0.75
Tarefa: collectionSpecie | Estagio: 4th | Fold: 9 | Hits@50: 0.6428571428571429
Tarefa: name | Estagio: 1st | Fold: 0 | Hits@50: 0.6240978487161692
Tarefa: name | Estagio: 2nd | Fold: 0 | Hits@50: 0.6495169082125604
Tarefa: name | Estagio: 3rd | Fold: 0 | Hits@50: 0.6375661375661376
Tarefa: name | Estagio: 4th | Fold: 0 | Hits@50: 0.6209677419354839
Tarefa: name | Estagio: 1st | Fold: 1 | Hits@50: 0.6194268199993391
Tarefa: name | Estagio: 2nd | Fold: 1 | Hits@50: 0.6451086956521739
Tarefa: name | Estagio: 3rd | Fold: 1 | Hits@50: 0.6785714285714285
Tarefa: name | Estagio: 4th | Fold: 1 | Hits@50: 0.6021505376344086
Tarefa: name | Estagio: 1st | Fold: 2 | Hits@50: 0.6060872460872461
Tarefa: name | Estagio: 2nd | Fold: 2 | Hits@50: 0.6057081807081808
Tarefa: name | Estagio: 3rd | Fold: 2 | Hits@50: 0.5991935483870967
Tarefa: name | Estagio: 4th | Fold: 2 | Hits@50: 0.6586021505376344
Tarefa: name | Estagio: 1st | Fold: 3 | Hits@50: 0.6218582651915985
Tarefa: name | Estagio: 2nd | Fold: 3 | Hits@50: 0.6323350041771094
Tarefa: name | Estagio: 3rd | Fold: 3 | Hits@50: 0.650897435897436
Tarefa: name | Estagio: 4th | Fold: 3 | Hits@50: 0.6654040404040403
Tarefa: name | Estagio: 1st | Fold: 4 | Hits@50: 0.6677188552188552
Tarefa: name | Estagio: 2nd | Fold: 4 | Hits@50: 0.7017210144927537
Tarefa: name | Estagio: 3rd | Fold: 4 | Hits@50: 0.7203703703703703
Tarefa: name | Estagio: 4th | Fold: 4 | Hits@50: 0.6989247311827956
