Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.20987654320987653
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.27777777777777773
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.28125
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.2962962962962963
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.37037037037037035
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.26900584795321636
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.2770833333333333
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.2222222222222222
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.2962962962962963
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.6974666666666667
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7425287356321838
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.7344632768361581
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7471264367816091
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.6853276353276354
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7296747967479674
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.8184523809523808
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.7976190476190476
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.6973611111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7410714285714286
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7207602339181287
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.67816091954023
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.709861111111111
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.7123015873015873
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.7192982456140351
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7931034482758621
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.7064207650273224
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.707843137254902
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.7528735632183907
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.7758620689655172
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.6884823848238483
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.7025193798449613
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.6896551724137931
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7068965517241379
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7146174863387978
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.6774509803921568
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.7471264367816091
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.7298850574712643
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.6964689265536723
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.7349397590361445
